cluster_alias,cluster,supertype,subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
1171,1026 IA Mgp Gaba_5,0294 IA Mgp Gaba_5,065 IA Mgp Gaba,09 CNU-LGE GABA,GABA,1,7.194587,7.194587,1.0
1174,1224 MEA-BST Sox6 Gaba_6,0342 MEA-BST Sox6 Gaba_6,073 MEA-BST Sox6 Gaba,11 CNU-HYa GABA,GABA,4,2.6516836,2.58311,0.5
1175,1210 MEA-BST Sox6 Gaba_4,0340 MEA-BST Sox6 Gaba_4,073 MEA-BST Sox6 Gaba,11 CNU-HYa GABA,GABA,1,0.0,0.0,0.0
1177,1211 MEA-BST Sox6 Gaba_4,0340 MEA-BST Sox6 Gaba_4,073 MEA-BST Sox6 Gaba,11 CNU-HYa GABA,GABA,3,3.5006104,4.9584894,0.6666666666666666
1179,0919 GPe-SI Sox6 Cyp26b1 Gaba_2,0258 GPe-SI Sox6 Cyp26b1 Gaba_2,059 GPe-SI Sox6 Cyp26b1 Gaba,09 CNU-LGE GABA,GABA,1,0.0,0.0,0.0
1182,0922 GPe-SI Sox6 Cyp26b1 Gaba_2,0258 GPe-SI Sox6 Cyp26b1 Gaba_2,059 GPe-SI Sox6 Cyp26b1 Gaba,09 CNU-LGE GABA,GABA,4,2.5177512,2.2573264,0.5
1184,0943 STR D1 Gaba_1,0265 STR D1 Gaba_1,061 STR D1 Gaba,09 CNU-LGE GABA,GABA,1,0.0,0.0,0.0
1189,0959 STR D1 Gaba_6,0270 STR D1 Gaba_6,061 STR D1 Gaba,09 CNU-LGE GABA,GABA,73,3.123803,4.7973647,0.5068493150684932
1190,0947 STR D1 Gaba_1,0265 STR D1 Gaba_1,061 STR D1 Gaba,09 CNU-LGE GABA,GABA,1,0.0,0.0,0.0
1191,0941 OT D3 Folh1 Gaba_3,0264 OT D3 Folh1 Gaba_3,060 OT D3 Folh1 Gaba,09 CNU-LGE GABA,GABA,12,2.9280405,2.7507622,0.5
1192,0942 OT D3 Folh1 Gaba_3,0264 OT D3 Folh1 Gaba_3,060 OT D3 Folh1 Gaba,09 CNU-LGE GABA,GABA,47,3.0176473,0.0,0.44680851063829785
1194,0939 OT D3 Folh1 Gaba_1,0262 OT D3 Folh1 Gaba_1,060 OT D3 Folh1 Gaba,09 CNU-LGE GABA,GABA,11,2.4880254,0.0,0.36363636363636365
1197,1382 ACB-BST-FS D1 Gaba_3,0383 ACB-BST-FS D1 Gaba_3,081 ACB-BST-FS D1 Gaba,11 CNU-HYa GABA,Glut-GABA,1,4.9629083,4.9629083,1.0
1201,1378 ACB-BST-FS D1 Gaba_2,0382 ACB-BST-FS D1 Gaba_2,081 ACB-BST-FS D1 Gaba,11 CNU-HYa GABA,GABA,6,3.194647,4.6018553,0.6666666666666666
1203,1379 ACB-BST-FS D1 Gaba_2,0382 ACB-BST-FS D1 Gaba_2,081 ACB-BST-FS D1 Gaba,11 CNU-HYa GABA,GABA,1,0.0,0.0,0.0
1205,1275 MEA-BST Lhx6 Nr2e1 Gaba_2,0355 MEA-BST Lhx6 Nr2e1 Gaba_2,075 MEA-BST Lhx6 Nr2e1 Gaba,11 CNU-HYa GABA,GABA,1,0.0,0.0,0.0
1208,1271 MEA-BST Lhx6 Nr2e1 Gaba_1,0354 MEA-BST Lhx6 Nr2e1 Gaba_1,075 MEA-BST Lhx6 Nr2e1 Gaba,11 CNU-HYa GABA,GABA,1,0.0,0.0,0.0
